year,gender,name,n
2019,female,WŁODZIMIERA,265
2019,female,YULIA,264
2019,female,SWITŁANA,263
2019,female,LUCY,262
2019,female,VARVARA,260
2019,female,ARIANNA,259
2019,female,JOHANNA,259
2019,female,"NASTAZJA",257
2019,female,"NATALYA",255
2019,female,ERWINA,253
2019,female,GUSTAWA,253
2019,female,IZYDORA,253
2019,female,NELLI,253
2019,female,CAMILLA,252
2019,female,MARY,252
2019,female,ZOYA,252
2019,female,ADOLFA,250
2019,female,LUISA,250
2019,female,DIONIZA,249
2019,female,SUSANNE,249
2019,female,ALESSANDRA,248
2019,female,HERTA,248
2019,female,KSENIYA,246
2019,female,LARISSA,246
2019,female,KARMEN,245
2019,female,ANJA,243
2019,female,LUNA,243
2019,female,VIVIENNE,243
2019,female,WALBURGA,243
2019,female,MEGAN,242
2019,female,TADEUSZA,242
2019,female,KRYSTIANA,241
2019,female,ADOLFINA,240
2019,female,ELIANA,240
2019,female,SOFIJA,238
2019,female,ALESIA,236
2019,female,CARLA,236
2019,female,ALESSIA,235
2019,female,CORNELIA,235
2019,female,ELVIRA,235
2019,female,SHARON,235
2019,female,DOLORES,234
2019,female,FABIOLA,233
2019,female,LORENA,233
2019,female,ZBIGNIEWA,233
2019,female,BOGDA,232
2019,female,WALESKA,232
2019,female,WINCENTA,232
2019,female,ASTRID,230
2019,female,LILLI,230
2019,female,KATIA,229
2019,female,SYNTIA,228
2019,female,ANIA,227
2019,female,PETRA,227
2019,female,AUGUSTA,225
2019,female,KRYSTSINA,225
2019,female,LIDIYA,225
2019,female,MADINA,225
2019,female,MIKA,225
2019,female,ADI,223
2019,female,AMIRA,223
2019,female,RENA,222
2019,female,URSULA,222
2019,female,LEYLA,221
2019,female,ROZA,221
2019,female,TAISIIA,220
2019,female,OXANA,219
2019,female,SUSAN,218
2019,female,KATARINA,217
2019,female,KATRIN,217
2019,female,VALERYIA,217
2019,female,ALIONA,216
2019,female,RUT,216
2019,female,VALIANTSINA,216
2019,female,ROSA,215
2019,female,MALIKA,214
2019,female,CHANTAL,212
2019,female,AISHA,211
2019,female,MARGOTA,211
2019,female,"NADZEYA",209
2019,female,HELEN,204
2019,female,CYNTHIA,203
2019,female,FELICYTA,203
2019,female,JAGIENKA,203
2019,female,LUBOMIŁA,203
2019,female,ULYANA,203
2019,female,"NADJA",201
2019,female,MARGARYTA,200
2019,female,PAULINE,200
2019,female,PATRIZIA,199
2019,female,LUDGARDA,198
2019,female,EUFROZYNA,197
2019,female,KAMELIA,197
2019,female,KORYNA,197
2019,female,KRYSPINA,197
2019,female,LUCJANA,197
2019,female,TAMILA,197
2019,female,"NADIJA",196
2019,female,ROBERTA,196
2019,female,ANAT,195
2019,female,REBECCA,195
2019,female,AGATHA,194
2019,female,"NATALIJA",194
2019,female,ZEFIRYNA,194
2019,female,CAMILA,193
2019,female,FRYDA,193
2019,female,SOFIE,193
2019,female,ESTHER,192
2019,female,LYDIA,191
2019,female,YVONNE,191
2019,female,LEAH,190
2019,female,"NADIEŻDA",189
2019,female,ROSE,188
2019,female,TAL,188
2019,female,KAMILIA,187
2019,female,FATMA,186
2019,female,GABRIELLE,185
2019,female,GRACE,185
2019,female,EDMUNDA,184
2019,female,LUDMILA,184
2019,female,VITALINA,184
2019,female,VIVIANA,184
2019,female,YARYNA,184
2019,female,MILLA,183
2019,female,SATURNINA,183
2019,female,MARYAM,182
2019,female,RAFAELA,182
2019,female,VITALIIA,182
2019,female,WALTRAUD,182
2019,female,MARYANA,180
2019,female,PALINA,180
2019,female,REBEKA,180
2019,female,KASJANA,178
2019,female,DĄBRÓWKA,177
2019,female,KIARA,177
2019,female,SIMONE,177
2019,female,SUZANNE,177
2019,female,LUDOMIŁA,176
2019,female,EDITH,175
2019,female,STELA,175
2019,female,VIRGINIA,175
2019,female,WALTRAUT,175
2019,female,DAMIANA,174
2019,female,INEZA,174
2019,female,IEVGENIIA,173
2019,female,NOELIA,173
2019,female,VITTORIA,173
2019,female,BLANCA,172
2019,female,SHIRA,171
2019,female,SUZANNA,171
2019,female,INGEBORG,170
2019,female,"NASTIA",170
2019,female,ELIF,169
2019,female,ELIGIA,169
2019,female,INESA,169
2019,female,KARLA,169
2019,female,SYLWINA,169
2019,female,WISŁAWA,169
2019,female,ANNA-MARIA,168
2019,female,LIZAVETA,168
2019,female,SALMA,168
2019,female,SUSANA,168
2019,female,BETTINA,167
2019,female,EMILIIA,167
2019,female,HENRIETA,167
2019,female,LEONIDA,167
2019,female,MERVE,167
2019,female,BIRUTA,166
2019,female,DENISE,166
2019,female,DORA,166
2019,female,EDELTRAUD,166
2019,female,WIEŃCZYSŁAWA,166
2019,female,ZARA,166
2019,female,DEBORAH,164
2019,female,JULIETTA,164
2019,female,RONI,164
2019,female,ALBERTYNA,163
2019,female,PALOMA,163
2019,female,EDWINA,162
2019,female,TATJANA,162
2019,female,ZUZANA,162
2019,female,IMAN,161
2019,female,ROMINA,161
2019,female,ANDRIANA,160
2019,female,JOLA,160
2019,female,DANIELLE,159
2019,female,ILIANA,159
2019,female,VIVIAN,159
2019,female,ZYGFRYDA,159
2019,female,KATHRIN,158
2019,female,HILARIA,157
2019,female,IWONKA,157
2019,female,CHANEL,156
2019,female,"NASTASSIA",156
2019,female,HILDEGARD,155
2019,female,JULIETTE,155
2019,female,VANESA,155
2019,female,JENNY,154
2019,female,KATERINA,154
2019,female,ZOSIA,154
2019,female,ANNETTE,153
2019,female,ELMIRA,153
2019,female,KARINE,152
2019,female,OLESYA,152
2019,female,HANNELORE,151
2019,female,KORDULA,151
2019,female,NICOLL,151
2019,female,TEREZA,151
2019,female,AFRODYTA,150
2019,female,ANNIKA,149
2019,female,ESTER,149
2019,female,FLORIANNA,149
2019,female,NORA,149
2019,female,YASMINE,147
2019,female,AYA,145
2019,female,MARGARETE,145
2019,female,SCARLETT,145
2019,female,JUTA,144
2019,female,KATRINA,144
2019,female,CLAIRE,143
2019,female,IRIS,143
2019,female,KELLY,143
2019,female,ZINA,143
2019,female,ŻAKLIN,143
2019,female,EVELYN,142
2019,female,STANISLAVA,142
2019,female,ANDŻELA,141
2019,female,KIM,141
2019,female,TATYANA,141
2019,female,BEATRIZ,140
2019,female,INESSA,140
2019,female,KHAVA,140
2019,female,ZEYNEP,140
2019,female,ANATOLIA,139
2019,female,CECILIA,139
2019,female,KATE,139
2019,female,LOUISE,139
2019,female,MARGERITA,139
2019,female,SYLWANA,139
2019,female,VALERIYA,139
2019,female,YULIANA,139
2019,female,CYNTIA,138
2019,female,ELIZAVETA,137
2019,female,ANŻELIKA,136
2019,female,HEIDI,136
2019,female,KOLETA,136
2019,female,EDELTRAUT,135
2019,female,ANATOLA,134
2019,female,ORYSIA,134
2019,female,RAQUEL,133
2019,female,DENISA,132
2019,female,MERCEDES,132
2019,female,NINO,132
2019,female,THỊ,132
2019,female,YELIZAVETA,132
2019,female,ANNEMARIE,131
2019,female,HANIA,131
2019,female,ŁARYSA,131
2019,female,AMBER,130
2019,female,BERNADYNA,130
2019,female,IVANA,130
2019,female,LUCIE,130
2019,female,MARION,130
2019,female,KAMA,129
2019,female,LIDA,129
2019,female,VLADA,129
2019,female,WIWIANA,129
2019,female,ANNAMARIA,128
2019,female,CINDY,128
2019,female,FLORA,128
2019,female,JOSEPHINE,128
2019,female,LORETTA,128
2019,female,MAURA,128
2019,female,BEATRYCZE,127
2019,female,FRIDA,127
2019,female,SABINE,127
2019,female,SEDA,127
2019,female,AVA,126
2019,female,SYBILA,126
2019,female,DOMINIQUE,125
2019,female,DZIYANA,125
2019,female,FILIPINA,125
2019,female,JUTTA,125
2019,female,BELLA,124
2019,female,KATJA,124
2019,female,NELI,124
2019,female,ILANA,123
2019,female,ARETA,122
2019,female,EMILIYA,122
2019,female,KEREN,121
2019,female,LOLA,121
2019,female,JUSTINE,120
2019,female,KAYLA,120
2019,female,XYMENA,120
2019,female,GEORGINA,119
2019,female,KASIA,119
2019,female,LILIAN,119
2019,female,"NADEZHDA",119
2019,female,YAUHENIYA,119
2019,female,BRIGITTE,118
2019,female,EDITA,118
2019,female,"NANCY",118
2019,female,YASMINA,118
2019,female,LENKA,117
2019,female,RAJMUNDA,117
2019,female,ECATERINA,116
2019,female,GISELA,116
2019,female,JULIETA,116
2019,female,BERNARDETTA,115
2019,female,ROSANNA,115
2019,female,ROSEMARIE,115
2019,female,ANN,114
2019,female,ASHLEY,114
2019,female,BEATRICE,114
2019,female,STEFANIE,114
2019,female,ELLEN,113
2019,female,FIONA,113
2019,female,JUDITH,113
2019,female,KATIE,113
2019,female,YUVAL,113
2019,female,EMILIANA,112
2019,female,FRIEDA,112
