name,count,gender,area,age
Dimitri,3303,male,wallonia,18-64
Evi,3300,female,flanders,18-64
Henri,3299,male,wallonia,65-inf
Louis,3297,male,wallonia,18-64
Jasper,3284,male,flanders,18-64
Stan,3279,male,flanders,0-17
Micheline,3279,female,wallonia,65-inf
Elien,3279,female,flanders,18-64
Robbe,3278,male,flanders,18-64
Fien,3276,female,flanders,0-17
Amélie,3275,female,flanders,0-17
Finn,3271,male,flanders,0-17
André,3271,male,flanders,18-64
Geneviève,3265,female,wallonia,18-64
Steve,3251,male,wallonia,18-64
Nadia,3251,female,wallonia,18-64
Corinne,3250,female,wallonia,18-64
Luna,3244,female,flanders,0-17
Fanny,3243,female,wallonia,18-64
Jordan,3234,male,wallonia,18-64
Dylan,3233,male,wallonia,18-64
Alexandra,3229,female,wallonia,18-64
Charlotte,3224,female,flanders,0-17
Amélie,3221,female,wallonia,18-64
Séverine,3207,female,wallonia,18-64
Christiaan,3195,male,flanders,18-64
Lena,3194,female,flanders,0-17
Hanne,3177,female,flanders,0-17
Josephus,3176,male,flanders,65-inf
John,3172,male,flanders,18-64
Raf,3171,male,flanders,18-64
Romain,3164,male,wallonia,0-17
Jean-Pierre,3161,male,wallonia,65-inf
Suzanne,3149,female,wallonia,65-inf
Alexandre,3144,male,wallonia,0-17
Joël,3140,male,wallonia,18-64
Gunther,3139,male,flanders,18-64
Erik,3138,male,flanders,65-inf
Marc,3136,male,wallonia,65-inf
Vince,3135,male,flanders,0-17
Koenraad,3127,male,flanders,18-64
Lies,3125,female,flanders,18-64
Guy,3117,male,flanders,65-inf
Anthony,3102,male,flanders,18-64
Ine,3099,female,flanders,18-64
Magali,3098,female,wallonia,18-64
Annie,3097,female,flanders,18-64
Samuel,3097,male,wallonia,18-64
Martin,3096,male,wallonia,18-64
Liliane,3094,female,flanders,18-64
Isabel,3090,female,flanders,18-64
Lydia,3083,female,flanders,65-inf
Matteo,3064,male,flanders,0-17
Nelly,3057,female,flanders,65-inf
Eveline,3051,female,flanders,18-64
José,3051,male,wallonia,65-inf
Nathan,3050,male,flanders,0-17
Thomas,3049,male,wallonia,0-17
Michèle,3040,female,wallonia,18-64
Salvatore,3038,male,wallonia,18-64
Anke,3035,female,flanders,18-64
Jürgen,3035,male,flanders,18-64
Elena,3031,female,flanders,0-17
Jo,3031,male,flanders,18-64
Greet,3025,female,flanders,18-64
Renée,3011,female,wallonia,65-inf
Sonia,3007,female,wallonia,18-64
Louis,3003,male,flanders,18-64
Mike,3002,male,flanders,18-64
Leon,3002,male,flanders,0-17
Martha,2999,female,flanders,65-inf
Valérie,2998,female,flanders,18-64
Maria,2992,female,brussels,65-inf
Astrid,2990,female,flanders,18-64
Sacha,2981,male,wallonia,0-17
Jasper,2981,male,flanders,0-17
Alice,2977,female,wallonia,0-17
Olivier,2971,male,brussels,18-64
Laurens,2959,male,flanders,18-64
Jean-Claude,2953,male,wallonia,65-inf
Josephina,2951,female,flanders,65-inf
Aline,2951,female,wallonia,18-64
Denise,2949,female,wallonia,65-inf
Elias,2949,male,flanders,0-17
Antoine,2949,male,wallonia,0-17
Lutgarde,2945,female,flanders,18-64
Jacqueline,2944,female,wallonia,18-64
Sonia,2937,female,flanders,18-64
Philippe,2933,male,brussels,18-64
David,2927,male,brussels,18-64
Dylan,2925,male,flanders,18-64
Eddy,2923,male,wallonia,18-64
Erna,2923,female,flanders,65-inf
Nathalie,2923,female,brussels,18-64
Colette,2922,female,wallonia,65-inf
Martin,2920,male,flanders,18-64
Lina,2918,female,flanders,0-17
Gilles,2917,male,flanders,18-64
Lynn,2909,female,flanders,18-64
Gregory,2907,male,flanders,18-64
Gilles,2906,male,wallonia,18-64
Alex,2897,male,flanders,18-64
Mathieu,2890,male,flanders,18-64
Mats,2890,male,flanders,0-17
Adam,2884,male,brussels,0-17
Marie-Christine,2884,female,wallonia,18-64
Joyce,2878,female,flanders,18-64
Carla,2870,female,flanders,18-64
Lisa,2869,female,flanders,0-17
Gerard,2868,male,flanders,65-inf
Diana,2866,female,flanders,18-64
Bénédicte,2862,female,wallonia,18-64
Olivia,2854,female,wallonia,0-17
Christine,2850,female,wallonia,65-inf
Kathy,2846,female,flanders,18-64
Eva,2835,female,wallonia,0-17
Nina,2831,female,flanders,0-17
Michèle,2829,female,wallonia,65-inf
Georgette,2829,female,wallonia,65-inf
Mélissa,2827,female,wallonia,18-64
Rune,2819,male,flanders,0-17
Daniël,2817,male,flanders,18-64
